文件,行号,类型,代码
"配送开单台.html","3771","丢掉","if(!r.it||unitNorm(r.it.unit)!==""板"") return;"
"配送开单台.html","3776","丢掉","if(有[押]===undefined) return;"
"配送开单台.html","3777","合并","(堆[押]=堆[押]||{n:0,从:[]}).n+=r.qty;"
"配送开单台.html","3779","丢掉","return;"
"配送开单台.html","3788","丢掉","if(!条.length){ bar.hidden=true; bar.innerHTML=""""; return; }"
"配送开单台.html","3803","默认值","var sku=btn.getAttribute(""data-sku""), n=parseFloat(btn.getAttribute(""data-n""))||1;"
"配送开单台.html","3805","丢掉","if(k===undefined) return;"
"配送开单台.html","3823","丢掉","if(ST.ci<0){ 提醒(""先在上面选客户""); return; }"
"配送开单台.html","3853","丢掉","if(!o) return;"
"配送开单台.html","3855","丢掉","if(ci<0){ 提醒(""客户「""+(o.customer_name||o.customer_id)+""」在价格库里找不到了"",""红""); return; }"
"配送开单台.html","3909","丢掉","ordRender(rows); return;"
"配送开单台.html","3919","丢掉","var tb=$(""ord-rows""); if(!tb) return;"
"配送开单台.html","3928","默认值","+'<td style=""text-align:right"">'+n2(o.total_amount||0)+'</td>'"
"配送开单台.html","3962","丢掉","tr.parentNode.removeChild(tr.nextSibling); btn.textContent=""明细""; return;"
"配送开单台.html","4009","丢掉","if(seen[key]) return; seen[key]=1;"
"配送开单台.html","4010","默认值","_df[k]=(_df[k]||0)+1;"
"配送开单台.html","4022","丢掉","if(ci<0||!text||!text.trim()) return;"
"配送开单台.html","4026","默认值","m.n=(m.n||0)+1;"
"配送开单台.html","4030","默认值","if(k&&k.length<=24) m.keys[k]=(m.keys[k]||0)+1;"
"配送开单台.html","4036","默认值","if(c&&c.length>=3&&c.length<=24&&/[一-龥A-Za-z]{2,}/.test(c)) m.spots[c]=(m.spots[c]||0)+1;"
"配送开单台.html","4056","丢掉","if(h&&h.length>=2&&m.heads.indexOf(h)<0){ m.heads.push(h); if(m.heads.length>6) m.heads.sh"
"配送开单台.html","4072","默认值","Object.keys(OV.mem[cid].keys||{}).forEach(function(k){ _mdf[k]=(_mdf[k]||0)+1; });"
"配送开单台.html","4078","丢掉","if(!confirm(""把「记住的客户表样」全部忘掉？\n（学过的商品对照不受影响）"")) return;"
"配送开单台.html","4082","丢掉","var el=$(""mem-status""); if(!el) return;"
"配送开单台.html","4084","丢掉","if(!n){ el.textContent=""还没记住任何客户 —— 开几张单它就慢慢认得了""; return; }"
"配送开单台.html","4101","丢掉","var k=nameKey(c[1]); if(k.length<2) return;"
"配送开单台.html","4102","丢掉","if(hint&&hint.indexOf(k)>=0){ add(i,120,""表头写的是「""+c[1]+""」"",true); return; }"
"配送开单台.html","4110","丢掉","var b=IDX.byCust[i]; if(!b) return;"
"配送开单台.html","4114","丢掉","if(ii===undefined) return;"
"配送开单台.html","4115","默认值","hits++; w+=1/(df[k]||1);"
"配送开单台.html","4136","丢掉","var m=OV.mem[c[0]]; if(!m||!m.spots) return;"
"配送开单台.html","4150","丢掉","var m=OV.mem[c[0]]; if(!m||!m.heads) return;"
"配送开单台.html","4152","丢掉","if(m.heads[hi]&&bodyH.indexOf(m.heads[hi])>=0){ headHits.push(i); return; }"
"配送开单台.html","4167","丢掉","var m=OV.mem[c[0]]; if(!m) return;"
"配送开单台.html","4171","默认值","if(m.keys[k]){ hit++; mw+=1/(dfa[k]||1); }"
"配送开单台.html","4173","丢掉","if(hit<2) return;"
"配送开单台.html","4254","丢掉","if(!im){ d.className=""thumb-item loading""; d.textContent=""载入中…""; box.appendChild(d); retur"
"配送开单台.html","4264","丢掉","x.addEventListener(""click"",function(){ IMGS.splice(i,1); renderThumbs(); });"
"配送开单台.html","4275","丢掉","x.addEventListener(""click"",function(){ PDFS.splice(i,1); renderThumbs(); });"
"配送开单台.html","4287","丢掉","x.addEventListener(""click"",function(){ TXTS.splice(i,1); renderThumbs(); });"
"配送开单台.html","4294","丢掉","if(!has){ $(""ocr-msg"").textContent=""""; return; }"
"配送开单台.html","4315","丢掉","if(!arr.length) return;"
"配送开单台.html","4317","丢掉","if(room<=0){ $(""ocr-msg"").textContent=""最多贴 ""+MAX_IMG+"" 张，够用了""; return; }"
"配送开单台.html","4337","丢掉","renderThumbs(); return;"
"配送开单台.html","4342","丢掉","fr.onerror=function(){ IMGS.splice(base+k,1,undefined); IMGS=IMGS.filter(function(v){retur"
"配送开单台.html","4358","丢掉","if(!arr.length) return;"
"配送开单台.html","4364","丢掉","if(!其他.length) return;"
"配送开单台.html","4365","丢掉","if(!window.GM_FILE){ $(""ocr-msg"").textContent=""读文件的模块没加载上，刷新一下页面""; return; }"
"配送开单台.html","4372","丢掉","if(r.kind===""错""){ 错.push(r.err); return; }"
"配送开单台.html","4373","丢掉","if(r.kind===""文字""){ 文字.push(""# 来自文件：""+r.name+""\n""+r.text); return; }"
"配送开单台.html","4374","丢掉","if(r.kind===""pdf""){ PDFS.push(r); return; }"
"配送开单台.html","4397","丢掉","return;"
"配送开单台.html","4449","丢掉","if(!L||!L.总数||!(L.总数.qty>0)) return;"
"配送开单台.html","4450","默认值","var 和=Math.round((L.qty||0)*1000)/1000, 总=Math.round(L.总数.qty*1000)/1000;"
"配送开单台.html","4451","丢掉","if(Math.abs(和-总)<0.001) return;"
"配送开单台.html","4501","默认值","坏=Math.abs(Math.round((L.qty||0)*1000)/1000-Math.round(L.总数.qty*1000)/1000)>0.001;"
"配送开单台.html","4502","丢掉","if(!坏) return;"
"配送开单台.html","4521","丢掉","if(!x||x.type!==""image""||!x.source||x.source.type!==""base64"") return;"
"配送开单台.html","4552","丢掉","}catch(e){ 收工(); return; }"
"配送开单台.html","4560","丢掉","if(!图们||!图们.length||!文本||!文本.trim()){ 收到([]); return; }"
"配送开单台.html","4562","丢掉","if(!ORD.online&&!key){ 收到([]); return; }"
"配送开单台.html","4579","丢掉","if(!out||/^\s*全对/.test(out.trim())){ 收到([]); return; }"
"配送开单台.html","4584","丢掉","if(p.length<3||!p[0]||!p[1]||!p[2]) return;"
"配送开单台.html","4585","丢掉","if(p[1]===p[2]) return;                       /* 一样的就别报了 */"
"配送开单台.html","4752","丢掉","n=String(n==null?"""":n).trim(); if(!n) return;"
"配送开单台.html","4755","丢掉","if(是什么===""点位""&&像数量.test(n)) return;"
"配送开单台.html","4799","默认值","v.forEach(function(n){ var t=排查(n); if(t){ 认识++; 票[t]=(票[t]||0)+1; } });"
"配送开单台.html","4818","丢掉","var box=$(""pai-book""); if(!box) return;"
"配送开单台.html","4820","丢掉","if(!ks.length){ box.className=""muted""; box.textContent=""还没问过你 —— 说明到现在为止都不可疑""; return; }"
"配送开单台.html","4846","丢掉","var box=$(""read-book""); if(!box) return;"
"配送开单台.html","4851","丢掉","return;"
"配送开单台.html","4858","默认值","' <span class=""muted"">'+esc(r.确认于||"""")+' 确认　用过 '+(r.用过||0)+' 次</span>'+"
"配送开单台.html","4897","丢掉","if(!C||!条们.length){ 回调([]); return; }"
"配送开单台.html","4903","丢掉","if(见[纹]||!块.length) return;"
"配送开单台.html","4907","丢掉","if(!挑.length){ 回调([]); return; }"
"配送开单台.html","4959","丢掉","return;                        /* 窗留着，让人改完再存 —— 不改完不许往下走 */"
"配送开单台.html","4991","丢掉","if(!话们||!话们.length) return;"
"配送开单台.html","4992","丢掉","var box=$(""order-note""); if(!box) return;"
"配送开单台.html","4995","丢掉","if(!添.length) return;"
"配送开单台.html","5001","丢掉","if(!话们.length) return;"
"配送开单台.html","5042","丢掉","return;"
"配送开单台.html","5113","丢掉","if(!fp||!读法) return;"
"配送开单台.html","5116","默认值","客户:(ST.ci>=0?DATA.custs[ST.ci][1]:""""), 行数:几行||0, 用过:0 };"
"配送开单台.html","5122","丢掉","if(!fp||!OV.读法本||!OV.读法本[fp]) return;"
"配送开单台.html","5226","丢掉","if(!J) return;"
"配送开单台.html","5278","丢掉","if(!ST.重摊||ST.ci<0) return;"
"配送开单台.html","5279","丢掉","if(!(ST.重摊.读不懂数>0)) return;          /* 第一遍就全读懂了，不折腾 */"
"配送开单台.html","5282","丢掉","if(!合||!合.行.length) return;"
"配送开单台.html","5290","丢掉","if(!新们.length) return;"
"配送开单台.html","5293","丢掉","if(!合2||!合2.行.length) return;"
"配送开单台.html","5340","丢掉","return;"
"配送开单台.html","5353","丢掉","try{ p=runOcr(); }catch(e){ 识别炸了(""识别"",e); return; }"
"配送开单台.html","5387","丢掉","if(!rows.length) return;"
"配送开单台.html","5389","丢掉","try{ r=G.抓(rows,选项||{}); }catch(e){ return; }"
"配送开单台.html","5390","丢掉","if(!r||!(r.行||[]).length) return;"
"配送开单台.html","5394","丢掉","if(!q) return;"
"配送开单台.html","5460","丢掉","return;"
"配送开单台.html","5488","丢掉","return;"
"配送开单台.html","5497","丢掉","return;"
"配送开单台.html","5511","默认值","记.用过=(记.用过||0)+1; ovSave();"
"配送开单台.html","5523","丢掉","return;"
"配送开单台.html","5555","丢掉","if(错){ $(""btn-ocr"").disabled=false; 识别败了(""识别失败：""+错); return; }"
"配送开单台.html","5557","丢掉","if(!答){ $(""btn-ocr"").disabled=false; 识别败了(""没看懂这个表怎么读""); return; }"
"配送开单台.html","5567","丢掉","return;"
"配送开单台.html","5579","丢掉","return;"
"配送开单台.html","5656","丢掉","return;"
"配送开单台.html","5758","丢掉","if(!imgs.length&&!PDFS.length&&!TXTS.length){ return; }"
"配送开单台.html","5759","丢掉","if(imgs.length<IMGS.length){ $(""ocr-msg"").textContent=""还有图没读完，等一秒再点""; return; }"
"配送开单台.html","5763","丢掉","return;"
"配送开单台.html","5776","丢掉","认表跑一趟(有格子,key); return;"
"配送开单台.html","5793","丢掉","return;"
"配送开单台.html","5822","默认值","var 低=OCR文本.reduce(function(a,t){return a+(t.低分||0);},0);"
"配送开单台.html","5864","丢掉","return;"
"配送开单台.html","5879","丢掉","return;"
"配送开单台.html","5906","丢掉","return;"
"配送开单台.html","5920","丢掉","if(错){ $(""btn-ocr"").disabled=false; 识别败了(""拆行失败：""+错); return; }"
"配送开单台.html","5922","丢掉","if(!拆好的){ $(""btn-ocr"").disabled=false; 识别败了(""AI 没拆出东西来""); return; }"
"配送开单台.html","5928","丢掉","return;"
"配送开单台.html","5992","丢掉","if(j.ok===false&&j.error){ 识别败了(""识别失败：""+j.error); return; }"
"配送开单台.html","5993","丢掉","if(j.error){ 识别败了(""识别失败：""+(j.error.message||j.error.type)); return; }"
"配送开单台.html","5994","丢掉","if(j.stop_reason===""refusal""){ 识别败了(""识别被拒绝了，换一张图试试。""); return; }"
"配送开单台.html","5996","丢掉","if(!txt){ 识别败了(""没识别出内容，图可能太糊。""); return; }"
"配送开单台.html","6037","丢掉","return;"
"配送开单台.html","6168","丢掉","return;"
"配送开单台.html","6203","丢掉","var sel=$(id); if(!sel||sel.dataset.pk) return;"
"配送开单台.html","6246","丢掉","if(o.disabled){ h+='<div class=""pk-sep""></div>'; continue; }"
"配送开单台.html","6248","丢掉","if(q&&(t+"" ""+o.value).toLowerCase().indexOf(q.toLowerCase())<0) continue;"
"配送开单台.html","6269","丢掉","if(i==null||i<0||i>=sel.options.length) return;"
"配送开单台.html","6301","丢掉","if(!开着) return;"
"配送开单台.html","6302","丢掉","if(pop.contains(e.target)||wrap.contains(e.target)) return;"
"配送开单台.html","6350","丢掉","return;"
"配送开单台.html","6372","丢掉","if(ST.ci<0){ 提醒(""先选客户""); fillShop(""""); return; }"
"配送开单台.html","6377","丢掉","return;"
"配送开单台.html","6386","丢掉","if(ST.ci<0){ 提醒(""先选客户""); return; }"
"配送开单台.html","6388","丢掉","if(!v){ $(""shop-new"").focus(); return; }"
"配送开单台.html","6400","丢掉","var v=shopNow(); if(!v||ST.ci<0) return;"
"配送开单台.html","6404","丢掉","return;"
"配送开单台.html","6406","丢掉","if(!confirm(""把「""+v+""」从这个客户的门店名单里删掉？\n（只是删名单，已经开过的单不受影响）"")) return;"
"配送开单台.html","6422","丢掉","if(有文件没认()){ 跑识别(); return; }"
"配送开单台.html","6429","丢掉","var b=$(""btn-go""); if(!b) return;"
"配送开单台.html","6460","丢掉","var ci=parseInt($(""sb-cust"").value,10); if(isNaN(ci)||ci<0) return;"
"配送开单台.html","6463","丢掉","if(!n) return;"
"配送开单台.html","6464","丢掉","if(!confirm(""把「""+custName(ci)+""」记住的 ""+n+"" 个点位全部忘掉？\n（学过的商品对照不受影响）"")) return;"
"配送开单台.html","6482","丢掉","if(!L||L.manual||!L.text||!(L.i>=0)) return;"
"配送开单台.html","6485","丢掉","if(这词教不得(L.text,L.unit,sku)) return;"
"配送开单台.html","6486","丢掉","if(learnedSku(ST.ci,L.text,L.unit)===sku) return;      /* 早就会了，不重复写 */"
"配送开单台.html","6493","丢掉","if(ST.ci<0||!ST.lines.length){ 提醒(""还没有单子""); return; }"
"配送开单台.html","6494","丢掉","if(!ST.custOK){ 提醒(""先确认是哪家客户""); return; }"
"配送开单台.html","6497","丢掉","if(数量还空着()) return;              /* 跟「导观麦」共用同一份判断 */"
"配送开单台.html","6498","丢掉","if(点名没下落()) return;              /* ★ 有行没下落 → 拦住，见 点名报告 那段 */"
"配送开单台.html","6505","丢掉","return;"
"配送开单台.html","6569","丢掉","var s=SAMPLES[b.getAttribute(""data-s"")]; if(!s) return;"
"配送开单台.html","6594","丢掉","var el=e.target, f=el.getAttribute(""data-f""); if(f!==""price""&&f!==""alias"") return;"
"配送开单台.html","6596","丢掉","if(idx<0) return;"
"配送开单台.html","6598","丢掉","if(!needWho()){ renderCustDetail(); return; }"
"配送开单台.html","6601","丢掉","if(!(v>=0)){ 提醒(""单价要填个数字""); renderCustDetail(); return; }"
"配送开单台.html","6603","丢掉","if(v===t.price){ renderCustDetail(); return; }"
"配送开单台.html","6607","丢掉","if(!a){ 提醒(""客户叫法不能空 —— 空了下次就识别不出来了""); renderCustDetail(); return; }"
"配送开单台.html","6608","丢掉","if(a===t.alias){ renderCustDetail(); return; }"
"配送开单台.html","6613","丢掉","var el=e.target.closest(""[data-f]""); if(!el) return;"
"配送开单台.html","6615","丢掉","if(f!==""on""&&f!==""undo"") return;"
"配送开单台.html","6616","丢掉","var ci=custIndexById(CL.cid), idx=findItem(ci,sku); if(idx<0) return;"
"配送开单台.html","6618","丢掉","if(!needWho()) return;"
"配送开单台.html","6631","丢掉","if(!prod){ $(""na-msg"").textContent=""商品名不能空""; return; }"
"配送开单台.html","6633","丢掉","if(!(parseFloat(price.replace(/[^\d.]/g,""""))>=0)){ $(""na-msg"").textContent=""单价要填个数字""; retu"
"配送开单台.html","6634","丢掉","if(!needWho()) return;"
"配送开单台.html","6637","丢掉","if(!sku){ $(""na-msg"").textContent=""没加成，检查商品名和单价""; return; }"
"配送开单台.html","6647","丢掉","if(!n){ 提醒(""这家客户没有改过的东西""); return; }"
"配送开单台.html","6648","丢掉","if(!confirm(""把这家客户改过的 ""+n+"" 项全部还原成观麦的价和叫法？\n新增的品类不会删。\n\n这一步撤不回来。"")) return;"
"配送开单台.html","6649","丢掉","if(!needWho()) return;"
"配送开单台.html","6657","丢掉","if(v===null) return;"
"配送开单台.html","6665","丢掉","if(isNaN(ci)){ $(""map-msg"").textContent=""先选一个客户""; return; }"
"配送开单台.html","6666","丢掉","if(!raw){ $(""map-msg"").textContent=""先填「下单表上写的词」""; return; }"
"配送开单台.html","6667","丢掉","if(!sku){ $(""map-msg"").textContent=""先选一个商品""; return; }"
"配送开单台.html","6669","丢掉","if(!b||b.sku[sku]===undefined){ $(""map-msg"").textContent=""这个商品不在该客户的价格表里""; return; }"
"配送开单台.html","6707","丢掉","if(!f) return;"
"配送开单台.html","6712","丢掉","catch(err){ $(""ov-msg"").textContent=""❌ 这个文件读不了，不是导出的备份？""; return; }"
"配送开单台.html","6714","丢掉","if(!src||typeof src!==""object""||!src.maps){ $(""ov-msg"").textContent=""❌ 文件内容不对，里面没有对照记录""; r"
"配送开单台.html","6736","丢掉","if(!codes.length||isNaN(off)){ 提醒(""点位号和减价额都要填""); return; }"
"配送开单台.html","6756","丢掉","var cd=e.clipboardData; if(!cd) return;"
"配送开单台.html","6803","丢掉","if(fs&&fs.length){ e.preventDefault(); 收文件(fs); return; }"
"配送开单台.html","6821","丢掉","var box=$(""ocr-first""), st=$(""ocr-first-status""); if(!box) return;"
"配送开单台.html","6838","丢掉","var b=$(""btn-readforget""); if(!b) return;"
"配送开单台.html","6841","丢掉","if(!n){ return; }"
"配送开单台.html","6844","丢掉","""　学过的商品对照、点位册都不受影响。）"")) return;"
"配送开单台.html","6857","丢掉","return;"
"配送开单台.html","6870","丢掉","if(!v){ 提醒(""先粘贴密钥""); return; }"
"配送开单台.html","6871","丢掉","try{ localStorage.setItem(""gm_key"",v); }catch(e){ 提醒(""保存失败"",""红""); return; }"
